Wind Monitoring Program V1.0
회 사 명 : (주)레도
작성일자 : 2020년 06월 16일 13:33:07


날짜/시간 	 Wind_Driction 	 Wind_Speed
2020-06-16 16:58:19:600	278	0.4251468
2020-06-16 16:58:20:587	286	0.3952131
2020-06-16 16:58:21:597	278	0.3597212
2020-06-16 16:58:22:605	270	0.4131583
2020-06-16 16:58:23:594	266	0.4076473
2020-06-16 16:58:24:600	257	0.276482
2020-06-16 16:58:25:596	270	0.2942531
2020-06-16 16:58:26:608	261	0.3256329
2020-06-16 16:58:27:594	247	0.1884296
2020-06-16 16:58:28:607	247	0
2020-06-16 16:58:29:593	247	0
2020-06-16 16:58:30:586	247	0
2020-06-16 16:58:31:592	247	0
2020-06-16 16:58:32:600	247	0
2020-06-16 16:58:33:592	247	0
2020-06-16 16:58:34:603	257	0.2281899
2020-06-16 16:58:35:597	257	0.2184035
2020-06-16 16:58:36:585	254	0.263437
2020-06-16 16:58:37:605	261	0.2912699
2020-06-16 16:58:38:600	268	0.3723997
2020-06-16 16:58:39:593	266	0.4492042
2020-06-16 16:58:40:599	259	0.3946411
2020-06-16 16:58:41:591	259	0.279841
2020-06-16 16:58:42:600	263	0.2047878
2020-06-16 16:58:43:592	263	0
2020-06-16 16:58:44:583	263	0
2020-06-16 16:58:45:607	263	0
2020-06-16 16:58:46:598	263	0
2020-06-16 16:58:47:596	280	0.3118772
2020-06-16 16:58:48:602	276	0.3119865
2020-06-16 16:58:49:590	290	0.2485944
2020-06-16 16:58:50:583	290	0.3261444
2020-06-16 16:58:51:590	285	0.4009653
2020-06-16 16:58:52:585	292	0.3204875
2020-06-16 16:58:53:591	288	0.3282906
2020-06-16 16:58:54:603	289	0.4012405
2020-06-16 16:58:55:605	291	0.3669977
2020-06-16 16:58:56:602	286	0.27792
2020-06-16 16:58:57:589	289	0.2820038
2020-06-16 16:58:58:597	277	0.3330808
2020-06-16 16:58:59:592	262	0.3496578
2020-06-16 16:59:00:598	270	0.3079597
2020-06-16 16:59:01:595	278	0
2020-06-16 16:59:02:597	278	0
2020-06-16 16:59:03:587	278	0
2020-06-16 16:59:04:593	278	0
2020-06-16 16:59:05:587	278	0
2020-06-16 16:59:06:596	260	0.2932803
2020-06-16 16:59:07:589	260	0.2319137
2020-06-16 16:59:08:601	260	0
2020-06-16 16:59:09:601	260	0
2020-06-16 16:59:10:594	286	0.309232
2020-06-16 16:59:11:586	267	0.3546187
2020-06-16 16:59:12:594	275	0.3753472
2020-06-16 16:59:13:585	280	0.3526344
2020-06-16 16:59:14:602	285	0.291398
2020-06-16 16:59:15:585	289	0
2020-06-16 16:59:16:608	289	0
2020-06-16 16:59:17:601	289	0
2020-06-16 16:59:18:593	289	0
2020-06-16 16:59:19:600	288	0.2784381
2020-06-16 16:59:20:599	279	0.2987988
2020-06-16 16:59:21:602	288	0.3406277
2020-06-16 16:59:22:592	297	0.3356444
2020-06-16 16:59:23:599	290	0.3252873
2020-06-16 16:59:24:608	283	0.3611988
2020-06-16 16:59:25:600	289	0.3364238
2020-06-16 16:59:26:591	286	0.3792641
2020-06-16 16:59:27:598	285	0.4381343
2020-06-16 16:59:28:591	284	0.3743922
2020-06-16 16:59:29:583	280	0.320544
2020-06-16 16:59:30:591	296	0.3067172
2020-06-16 16:59:31:599	294	0.278555
2020-06-16 16:59:32:591	281	0.2730431
2020-06-16 16:59:33:599	285	0.3351195
2020-06-16 16:59:34:594	278	0.4430503
2020-06-16 16:59:35:597	262	0.4201551
2020-06-16 16:59:36:589	257	0.3593021
2020-06-16 16:59:37:582	256	0.3194704
2020-06-16 16:59:38:593	260	0.2593162
2020-06-16 16:59:39:596	279	0.2815341
2020-06-16 16:59:40:590	270	0.3301822
2020-06-16 16:59:41:597	267	0.3849216
2020-06-16 16:59:42:590	278	0.4076003
2020-06-16 16:59:43:596	290	0.3408363
2020-06-16 16:59:44:590	298	0.291623
2020-06-16 16:59:45:600	291	0.2971105
2020-06-16 16:59:46:604	275	0.3249781
2020-06-16 16:59:47:596	298	0.2541749
2020-06-16 16:59:48:587	298	0.3119939
2020-06-16 16:59:49:594	280	0.4174458
2020-06-16 16:59:50:602	270	0.4668764
2020-06-16 16:59:51:595	275	0.4182992
2020-06-16 16:59:52:601	288	0.3825173
2020-06-16 16:59:53:593	295	0.3817134
2020-06-16 16:59:54:589	300	0.288518
2020-06-16 16:59:55:595	299	0.2327826
2020-06-16 16:59:56:584	299	0.2317118
2020-06-16 16:59:57:592	299	0.2030594
2020-06-16 16:59:58:605	299	0.228486
2020-06-16 16:59:59:592	299	0.193046
2020-06-16 17:00:00:600	299	0.1821926
2020-06-16 17:00:01:599	278	0.3372691
2020-06-16 17:00:02:601	280	0.3838586
2020-06-16 17:00:03:596	285	0.3424029
